Time [s], Analyzer Name, Decoded Protocol Result
1.935285000000000,Manchester hex,0xFE440F3C
1.959165000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
1.959165000000000,Manchester hex,0xFE440F3C
1.983050000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
1.983050000000000,Manchester hex,0xFE440F3C
2.006935000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
2.006935000000000,Manchester hex,0xFE440F3C
2.030815000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
2.030815000000000,Manchester hex,0xFE440F3C
2.054700000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
2.054700000000000,Manchester hex,0xFE440F3C
2.078580000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
2.078580000000000,Manchester hex,0xFE440F3C
2.102460000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
2.102460000000000,Manchester hex,0xFE440F3C
2.126350000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
2.126350000000000,Manchester hex,0xFE440F3C
2.150230000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
2.150230000000000,Manchester hex,0xFE440F3C
2.174115000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
2.174115000000000,Manchester hex,0xFE440F3C
2.198000000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
2.198000000000000,Manchester hex,0xFE440F3C
2.221885000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
2.221885000000000,Manchester hex,0xFE440F3C
2.245770000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
2.245770000000000,Manchester hex,0xFE440F3C
2.269650000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
2.269650000000000,Manchester hex,0xFE440F3C
2.293535000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
2.293535000000000,Manchester hex,0xFE440F3C
2.317415000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
2.317415000000000,Manchester hex,0xFE440F3C
2.341295000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
2.341295000000000,Manchester hex,0xFE440F3C
2.365180000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
2.365180000000000,Manchester hex,0xFE440F3C
2.389060000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
2.389060000000000,Manchester hex,0xFE440F3C
2.412945000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
2.412945000000000,Manchester hex,0xFE440F3C
2.436825000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
2.436825000000000,Manchester hex,0xFE440F3C
2.460710000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
2.460710000000000,Manchester hex,0xFE440F3C
2.484590000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
2.484590000000000,Manchester hex,0xFE440F3C
2.508475000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
2.508475000000000,Manchester hex,0xFE440F3C
2.532355000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
2.532355000000000,Manchester hex,0xFE440F3C
2.556235000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
2.556235000000000,Manchester hex,0xFE440F3C
2.580120000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
2.580120000000000,Manchester hex,0xFE440F3C
2.604005000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
2.604005000000000,Manchester hex,0xFE440F3C
2.627890000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
2.627890000000000,Manchester hex,0xFE440F3C
